Film Adı;IMDb Puanı;Oy Sayısı;Yönetmen;Yazar;Tür;Bütçe;Ülke;Yorum Sayısı;Çıkış Yılı;Film Süresi;;;;
Cinayet var;8,02;196000;Alfred Hitchcock;Frederick Knott;Crime;$1,400,000 ;United States;453;1954;1h 45m;;;;
Vahşi Robot;8,02;137000;Chris Sanders;Chris Sanders;Artificial Intelligence;$78,000,000 ;United States;819;2024;1h 42m;;;;
Rasomon: Sarı Irkın Şehveti;8,02;187000;Akira Kurosawa;Ryûnosuke Akutagawa;Drama;$250,000 ;Japan;437;1950;1h 28m;;;;
Rüzgâr Gibi Geçti;8,02;344000;Victor Fleming;Margaret Mitchell;Drama;$3,977,000 ;United States;1000;1939;3h 58m;;;;
Çin Mahallesi;8,01;362000;Roman Polanski;Robert Towne;Thriller;$6,000,000 ;United States;669;1974;2h 10m;;;;
Klaus: Sihirli Plan;8,02;210000;Sergio Pablos;Sergio Pablos;Animation;$40,000,000 ;Spain;894;2019;1h 36m;;;;
Gözlerindeki Sır;8,02;230000;Juan José Campanella;Eduardo Sacheri;Romance;$2,000,000 ;Argentina;372;2009;2h 9m;;;;
Ateşten Kalbe Akıldan Dumana;8,01;631000;Guy Ritchie;Guy Ritchie;Farce;£960,000 ;United Kingdom;670;1998;1h 47m;;;;
V for Vendetta;8,01;1200000;James McTeigue;Lilly Wachowski;Sci-Fi;$54,000,000 ;United States;2.500;2005;2h 12m;;;;
Ters Yüz;8,01;855000;Pete Docter;Pete Docter;Coming-of-Age;$175,000,000 ;United States;1.300;2015;1h 35m;;;;
Üç Billboard Ebbing Çıkışı,Missouri;8,01;576000;Martin McDonagh;Martin McDonagh;Comedy;$15,000,000 ;United Kingdom;1.400;2017;1h 55m;;;;
Trainspotting;8,01;744000;Danny Boyle;Irvine Welsh;Comedy;£1,500,000 ;United Kingdom;733;1996;1h 33m;;;;
Kwai Köprüsü;8,01;240000;David Lean;Pierre Boulle;Adventure;$3,000,000 ;United Kingdom;409;1957;2h 41m;;;;
Kızgın Boğa;8,01;392000;Martin Scorsese;Jake LaMotta;Boxing;$18,000,000 ;United States;716;1980;2h 9m;;;;
Sıkıysa Yakala;8,01;1100000;Steven Spielberg;Frank Abagnale Jr.;Caper;$52,000,000 ;United States;1000;2002;2h 21m;;;;
Fargo;8,01;748000;Joel Coen;Ethan Coen;Drama;$7,000,000 ;United Kingdom;1.100;1996;1h 38m;;;;
Büyük Dövüş;8,01;511000;Gavin O'Connor;Gavin O'Connor;Boxing;$25,000,000 ;United States;878;2011;2h 20m;;;;
Harry Potter ve Ölüm Yadigârları: Bölüm 2;8,01;986000;David Yates;Steve Kloves;Dark Fantasy;$125,000,000 ;United Kingdom;1.100;2011;2h 10m;;;;
Gran Torino;8,01;833000;Clint Eastwood;Nick Schenk;Drama;$33,000,000 ;Germany;1.100;2008;1h 56m;;;;
Milyonluk Bebek;8,01;741000;Clint Eastwood;Paul Haggis;Boxing;$30,000,000 ;United States;1.400;2004;2h 12m;;;;
Örümcek Adam: Eve Dönüş Yok;8,01;935000;Jon Watts;Chris McKenna;Superhero;$200,000,000 ;United States;6.100;2021;2h 28m;;;;
Komşum Totoro;8,01;401000;Hayao Miyazaki;Hayao Miyazaki;Anime;$3,700,000 ;Japan;628;1988;1h 26m;;;;
Çılgın Max: Öfkeli Yollar;8,01;1200000;George Miller;George Miller;Epic;$150,000,000 ;Australia;2.400;2015;2h;;;;
